DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
machine,0.19185185,0,psrsrprrsssrrrpsprprsppspsssrsrssrpprppsrpssrpprssprrrprprsssrsrprpsppsrrprprspprprpppsrpsrrpssppspssrsssppsssssrprspspssrsppspprrsprrsppspsssprrspsrsrrprsrrprprsrspssppppprrpsrrrpsprprrpsprsprprrrpspspppprpprrrspssrpppprspprrrrpsprrsrsrrrspspssssssspsrsrrsprrrpsrrrsrpspspprrrsrrrrpsppsppsspsspsrppr
human,0.91333333,1,psrpsprpsrpprpsprpsprpsrpprppsrpsprsprsprppsrppsprpspsprpsrpprprprpsprpsprprpsprspprpsprpsrppsrpsprprpsprpsrppsrprppsrpsprpprpsrpsrprspsrpsrprpsrpsprprssprrsppprprprpppsssrpsrrprpsprppsrpsprpsprprppsrpprsprprsppspprpprpsprsprpsprpsprpppsprpsrpprpsrpsprprprpprrrspspsprpsprpsprpsrpsprpsrprpsprpsrpsprp
machine,0.18074074,2,psrrrrsprsrpsrrsprrrrrprpssssrsprrpspspppprpsrrrrsspssprrrrsssppppprssssrpprppsrprsprrsprsrrrrsrrppprppppsssppsprrrpssprppppppsrsrsrppprppssrpsprsrrprpsrpprpprrprsrrpsprprppprprspsrprspsprrsppprssprrsprsssrsrrrspssrrrssssrssrsssrrspprsrppsrrprprprrsrsspppspsprrsspspppsrrpssrpsspsrsppsssrrrsrrsrrssrr
human,0.9562963,3,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
human,0.88666667,4,sprspsrpsrpsrpsrpsrpspprsrpsprpsrpsprsprpsrpsrpsprsprpsrpsrpsrpsprpspsrpsrprspsrpsrpsrpsprsprpsrpsrpsrpsprpsrpsprpsrpsrpsrpsppsrpsrpsrpsrprpsrpsprsprpsrpsprsprpsrpsprpsrpprsprpsrpsprsprpsrpsprsprpsrpsprpsrpsprpsrpsprpsrpsrpsprpsrpsrpsprpsrpsrpsprpsrpsprsrsprpsrpsprpsrpsprpsrpsprpsrpsprsprprpsrpspspr
machine,0.15703704,5,psprsssspsppppspppprrrrrprsrspsrppsrpsrpppspsppprsrspppsrsppsrrsprprrprprrpspssrrrsrprspssrpppssrsrrrprsspppsssssppsrsrsppsprprrsrspssrrppprrsssrrsspspsrsprsrprpppsprrsrpppprssrsrrppprspspsrssprsssprspssrrpsrrssrrppprrspprsprssrpppsrpspsrssrrprrrsprpsssrsrpsrrrrpprprprrssrrpprrrspsrppssrpsprpprrrrpp
machine,0.17259259,6,pprspssprssspsprssrsrspsrsrrssrpsrpspsspsrprppspppssprsrprprrrrrpssrprsrsppprppsrsrpprrppppsrrrpssprrpsppppssprssrrrpssrsrpsprrsrrpsrspppppprrprrssssrsspsrrpprrprpprpspsrpssrpssrsprrpprpspsrsrrpsssspsspsrsrrrsrrprrsprsspsrprprppspsrrrpprspppspsspprrsssrprpsrsprppsppsrprssssrrsssspssrspspssrrpsrrrsps
human,0.76740741,7,psprprpsprprpsprpsprpsprpsrprpsprpsprprpsprprpsprpsrpprppsprpsprppsprpsprrrrpsrprsprpsrsrpsprspsrpprpsprprpsprprpsprpsprpsprpsrprpsprpsprprpsprprpsprpsrpprppsprpsprppsprpsprrrrpsrprsprpsrsrpsprspsrpprpsprprpsprprpsprpsprpsprpsrprpsprpsprprpsprprpsprpsrpprppsprpsprppsprpsprrrrpsrprsprpsrsrpsprspsrppr
machine,0.20444444,8,prprprrprsprpppspsrsrsprrsspsssrrrsrsrrpsrssprprsrrrppspprprrrrppprpsprpssrpspsrssrsrsrrssprspppssrrppssrpssssssrspssrssrsrrsrrpprprpprpsrprrrsprssrrpppsrprpppsssspspsppssrpppsrrrprpprpssppsrpprpsppspprpprrpprpsssssrsrspprssppspppprrrrprsrssrsrpssrssprsrprrppsspsrrpsrpsspprssrrssrsprrspprrrrpspprrpr
machine,0.23111111,9,spsrprsprpsprssprsrspsrsrpssssspsprpprprsssrspppsrpsrppsssrrssrrsssprprpppsspsrpsrsprpppprprsrrpsrsrssrspprrssrsrssrppssrprrprrpsspsppsppsrprrsrprsppsppprspsrpsppprrssprrrrssspspssspppsrpsprprssrpssppppppssssrrsprrsrrssrrsspppspprprpprssssrpppsppsprrrpsrsrssssrpsssrrsssprppprsrppssrrssspsrpppspsrpsr
machine,0.25259259,10,srprpprsrspprprpsrsrssrssssssprspsrrrrppssrrpssrsprrpsrppprrrprrsppspppsppprrsrrpspprrprsprsrpssssssspssspspsprpssrrrpsrsrprrprpsrpprspprrrprrppsrsssprrrrsprrrpprspprspprsprprsrrsssspspsrrpsrspsrrssssppsprrppsrsrssrsrrspprpssprpsrssrssrpsrsrrrpsspprpprpppsspprssrrprpsspsrssspprssspprpsrsrspsprpspssp
machine,0.17925926,11,srprrppprsrprsssppsrppsprpsrrpsppprppprppprsprpsrssssrsrssrprppprprsssprsprrpssspssrrpprrppsrrrprrsrrrsprspssrsprspsrsrprpsrppssrsspsppsrrsrrrssrssrpsrrrrrpprssssprsrpprsrrrppsprssrsprssppssssrprrrsprrsprpspsrpsspppsrpppprsrspsspprsssrprrrsspsprsrpssssspssppsrspspsrppsrprrssppppprpsprsrrppssrssrssrp
human,0.96518519,12,srpsprsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsprsrprsprpsrpsrpsrpsrpsrpsrpsrpsrpsprrsprpsrpsrpsrpsprsrpsprsrpsprspsprrpsrpsrsrpsprsrpsrpsrpsrpsrpsprsrpsrpsrprspprsrpsrpsrpsrpsrprpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrprsprpsrpsrpsrpsrpsrpsrpsprsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsprsrpsrpsrpsprsrpsrpsp
human,0.5562963,13,rpsrppspssssspppppprrrrpppspspspsppspprprpspsppppsssssrppppspspsrppsrpsppsssspsppspsppsppspsprpprspsppppsrpprspsprpspsprpsppsrpsrppspsrprpspsrpspsrpsrppsrprspsprsppsrprspsrppsppppppprrrrrrrprprsppsrpsprpspsssprpsrpsprpspsprspprpsprprsppssssssrpprpssrpsrpsrspppppprrppspspspsprpsprpsprpsrppspssssspppp
human,0.68740741,14,ssssrrrrrrrrrrrrrrpppppppppssssspspspsppspspspspspspspspspspspspspspspspspspsrpprrprprprprprprrsrsrsrsrsrsrsrsrprprprprprprprprprprprprprprprprprprprprprsrsrsrsrspspspspsrprsprpsprsprsprsprsrpsprpsrpsrpsrpsprsprsprpsrpsrppsrpsrpsprpsrpsprpssprpsrpsprsprpsrprpppppppppsssppppppsssssssssrrrrrrrrrrrrrrp
human,0.67037037,15,prsprpsrpsprsprpsrpsrpsprsprpsrpsrpsprpsrpsrpsrpsprpsrpsrpsrpsrpsprsprsprsprpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsrpsrprpsrpsrpsrpsrpsprsprsprpsrpsrpsrpsprsprpsrpsrpsprsprsprpsrpsrpsrpsrprprprprprprspspspspspspspspspsppsppspspspsprprprprprprprprprpsrpsprsprpsrpsprsprpsrpsprsprpsrpsprpsrpsrprpsrpsprsprspr
human,0.77481481,16,rsprsprsprsrsrsprsspprpspsrpsrprprpsrpprspspsrpsrprprspsprpsrpspssprprrpspsrprspsrsrpsrprprpprrpsssrpprpsrpsrpsrpsrprprprpsrprprpspspspsprprprpsssssrrrpsrpsrpsrprrprpspsrpsrpsrpsrpsrpsrpsrpsrprrprpsrpsrpssprsprrpsrpsrpsprsprsprsprsprsprsrsrsprsspprpspsrpsrprprpsrpprspspsrpsrprprspsprpsrpspssprprrpsp
machine,0.17259259,17,psrrrpprpspprrrpppppsppsrspprssrprsrpprsrrprpppsrsspprprsrppssssprsprrpprrpsssrpprprpspsrssprsppsssrssprsprppppprsrrsprrrssppsrrpssspsrprssprrsrrrspsssrrrpppsprpspspssrpspprspprprprpprrrsppspsrsrrpsppssrssrspsspprsppsrrrrrpsprrprprrpsrrsrspsrrrprsrpsrrssrsrssrprrprrrpppprpprrsssrssrprprssrprprrprrpr
machine,0.19851852,18,psppssrrrrpppssppsssssprsrspsrrprrprrpsrrrsppppsrrssspsssppppspppsrprspssrprspppprrrrssrsssrprpsrrprrppsprrpprpprpssssspppssrsrsrrprrsssrpsrprrrpsprprspsppprprspprppssrrsrrpssprsprsssrrrpssprssprprrprpspsrsrpprsrsppprsrpssppsspssprpsssssrpsrprrpsrsppssssrrsppspsrsspsprrsssrprpsrprrrsppprrrrspsssprrs
machine,0.20518519,19,sssssrssprrssrrpsrrpprrrssrssrrsppppprpsrspssppppppsprpsssppprrsrrpsppprprrpprprssssssrspsspprpssrrspppprrrrrppprpsspsprrprsrspssrprssrrssrprrspsrrprsspsrsrrrpprspsprppspspsprsrpsspspppprrprsrpsrpsprsppprrsprsspsprprssrspsrpssprrrrppprssrssspsrpssprsrssprsrrssssrpspssrppsprpprpprsprsrsrpspsrrsssppss
human,0.7562963,20,prprpsprpprpsrppsrpsprprpsprpsprpsrpsprpsrppsrprpsrpsprpsrprsprpsrpsprprspsrpsrprspprppsrpsrprspprsprsprsprsprspprspsrprsprsprsprpsprsprsprsprsprsprsprsprsprsprspprsprsprsprsprsprspsrppsrpsrpsrpsrpsprpsrpsrprpsrpsrpsprpsrpprpsrpsrppssprprpsprprssprpsrpsrpsprpsrpsrpsrprsprsprsprpspsrpsprpsrpsrpsprpsr
machine,0.25703704,21,rprrsssssrrrssssrsrrrsrrrrpppssprpsrprpsrprrpprrspsrrpsrrrsrrrrrsssprspsrppsrrsrprpppspssrrppsssssssssrsprprrssrrrpsrrpssrsspsrsrrsssrspsrspppprppprpssppspssrrpprpsrpsprpppssspppppsprsrprpssrrprsprrprprpprsspsssrspppsrssrrrsrsprsrrrspspspsprsprppppppsppssrrrpsprpppsrrrpsprrrpppsrsrsprrrrssrppppprpsr
machine,0.22592593,22,srprssrpprrrsrsrprsrrssspspppsprrprpsrrrppprsprppssprprrrspsprppsppspprpsssrrrrrrpprpssrppprsrpprsrrrpsprsprsprprssprrpspsprrspsppspssrssrprprrrsprsprprrsrpprsrspsrspssrspsrpsspsrsppssrprssrsppspspsprrsrpspsspssrrsprppsppsprsrspppppprspssprssrprsppppspspprpppsrspssrsrrppsspsrsppprrsrprssssssssrrsrrp
machine,0.24518519,23,sprspsrsspsrprpsrrssppsssppsrpsrrrrsppspprrrsrsrsrrsrpsppprrsrrsspsrprsrsrprsspsrrsprrrrppssprppsspsprrssprpspsrsrprsrssrprpprpsrssrpsppprprrrppssrpprsrpprpppprprppsrrprppsppsrssrpsrrsrrspprrsrrrsrsspsssssrrsrrrrsrppprpprpsssrrprrppsrprspsprprrsspprrssrsrprpprssrrrsrspsspprsprspsprppprsprssrsprpprps
machine,0.19037037,24,pprsssrrpsrrsprspspsrrsssspspsssrrrprsrppssrppspprpsrsrrspsprprrssrrrrsrppssrrrssprrsrrrsrprpssspprpprpsppsrssppprrrpppprsrrpppssrsprrrppsrprrsrrsppssrpsrppprsprrppsppssspspspsppppsspprssprrprrssrrssspsprsrspprrrprppssrprrrrrsrsrrppprsrrsrpsrrrpprrsssspprrpspppsrsssrrpssprssprrsppsrsrssrpsprrrsspprs
human,0.54518519,25,rsprsprpsprsrsrssssspsppspspsppspsrsprrrprprrrpsrspsrpsrprsrpprsprppsprpsrpsppppppssppspspsrprprrpsrrprsrrssrrspprpsrpsrpsrprppsrprrprrpprpprpsrssrspsrppspsprsrrprprsprsrprprprprpsprpsprpsrpsrprpsprsprpsprpsprrrprrrrprrpprprprpprrrsrpsprpspsrpsrpsprsprsprpsprsrsrssssspsppspspsppspsrsprrrprprrrpsrsps
human,0.90222222,26,prprpspspspspsprpsrpsprsprpsrpsrpsprsrprpsrpsprpsrpsprpspspspsrprprpspsprsppspsprprpsrpspspspspspspsssrrrprprprprpspspsprpsrpsrsrprspsrpspprssprsprsrpsprsprsrpsrpsrpsrprspsrpsrpsrpsrpsrppsrppsrpsrpsprsprspprpsrpsprpsprpsprpsrprpsrprpsrprprprprprprsprpsrpsrpsprpsprpsppsrppsprpsppssrrrrrrrpsprpsrpsprs
human,1.04814815,27,psprppspprpsrpsprpsssrrprpsrpsrpsprpsrspspppsrpsprpsprpsrppsrpsprsprprpsprpsrpsprpsprsprrrpspsrpsrpsrpsrpsrpsrprpsrpsrpsrpsrpspspsrprpprsprpsrsrrrspspsrprpsrpsprpsrpsprpsrpsprsprpsprpsrpsprpsprpsprpsprpsprpspsppspsprpsrpsprppsprpsprsprpsprpsrpsprpspprpspsrpsprprprprrpsprpsprprpsprpsprpsrpsrpsprpspsp
machine,0.17185185,28,rpsrspssprrsspppsrpprspspspsspssrsppppsprsrrrspprrsprrrppspspprpppppprprrssppprsrrpssppsrrssrrsrrsrrppsrssprrpsprsssrpsrprssspspppppprrprpsprrrrrrprsrssssspsrpsppssssspssrsrsspssprprrrrpsrppsprrsprpppssrsrppsrprrspprpsrspsppsprsssprssrpsrssrprspsssppsssssrpsrssrpprppprssprsspsrrpprssrrrppsppspsrsrrp
human,0.92962963,29,rpsrpsprpsrpprpsppsprprprrprprprspspspsrprpsprsprsprsprprprpspspsrprprspsprprpspppspsprprpspsprprpspspsprpspsprpsprprpprprprpspspspsprprprpsprsprsprprpsprpsprsprpsprpsprpsprprprprprprprrprsprpsprsprspspsprprprpspspspsspsssssssppspsprpsprprrrpspsprprssspspsppprprprpspspspsprprpsprpsprprpspspspspsrpsp
machine,0.21777778,30,srrsrspsrpsrrppsrrrrspsssssrssprssppsprrsrsrrpprrpsrpsrssspssspprpsrppprrrrprspppsssssssspppsppsrsssrrsprppsppspsrrssrpsssrrrsrsrsppssprsrppsrrrsprrsprrppsrprpprprrpssrssppprpsrrrspsrrpssrrsrpprsssppprrssssspsprsrsspsprprspssrrpspprssrpspprrsrsrrprsrsprprrspprprrrspssrsspprrspprpppsrsrsspprsssprprrs
human,0.56148148,31,pssprrrpspsrspsrsrrssrpsprspppprrrprprprprprprsssprprprpprpprprprprpssspspsrrprsprsrsspspsppspspssprrrpspsrspsrsrrssrpsprspppprrrprprprprprprsssprprprpprpprprprprpssspspsrrprsprsrsspspsppspspssprrrpspsrspsrsrrssrpsprspppprrrprprprprprprsssprprprpprpprprprprpssspspsrrprsprsrsspspsppspspssprrrpspsrsps
machine,0.15851852,32,spsrrpspsppssrppsrpprsrssrrpsprsprpsrprssppsrrpprsrpppprrsssrpspsrspsrsssrppspssrrpsrrprrsprsppprsprprpsrrrrrpsspsppsssrrsrrprprspsrsrppprpsspprssssrrssspppsprpppssssrsprpprsrsssppspprsrpssrsprrsrpprsssrsppsrsrssrspprrrssppsrppspprrprppssprprspsrprrrrsspsppsppspsssrrprrrssspsprspsprrprrssprssrsspppp
machine,0.19111111,33,prpsrppsrsrpssrrrprprprrpspprssssrsrssrsppsrpsppsspppprprsppsppsprrprsrrsssrprrsrssprsspssrspssspssssrpsrsprspppprppprspsrrpspssppprsrrrrppsrrspprrpsprpprrrrppsspssrpppprsrsrsppsrprrsrrpppspssppprppsssppsprrrrpspprsrpspprrpprsrrpppspssrprrpprprrpspspsrpprpsprsspsspsrrprrrssprrsprsrprsppspssrrppprpsr
human,0.83481481,34,sprsprspspsrprspsrpsrpsprpsrpsprsppsspsppspsrprsprpssprprsprppsrppsrpspsprprspspspsrpsrpsrpsrpsrprspsprrpprssprspsrprpsrprspsrpprsprsprprpsrpspsrprsprprprspspprpspsprspsprprspprsprsprsprsprprspsppsprprspspssrrsrsrsrsprpsrpprsprspsrprsprspprsprsprsprspprspspsrprspssprprpspsrprsprpsprspsrpsrprsprprppr
human,0.9562963,35,pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp
human,0.88518519,36,psprpsprpsppppsssprprpspsprpsprpsprpsprprsprpsprprsprsprpsprsprprspprsprprsprprprsprprsprprsprspprsprpsprprsprpsprpsprppprpspsspsprprprppsprpsprpsprprspppppsprsprpsprpsprpsprpsprprsprpsprprprpsprprsprsprsrprppssprpprprpsprprpsprsprspsrprspsprsprsprsprpsrprsprpsprpsprspprsprpsprpsprpsprppsprprsprsprs
human,0.86666667,37,sprpspsprprpspsprpspsrpspspsrpsrpsrpspsrsrpsrpsrpsrppsrprspspsrpsrpsrpsrpspsrppspsrpspsrpspsprspsrpspsrprpspsrprpsprsprspsprpspsrpspssspsrrprrrsprprprrppppsspssspsrprpprprprppspsspsprrrprrrrpppppppsssssrpspsspsrprpsprpspsprprpspsprpspsrpspspsrpsrpsrpspsrsrpsrpsrpsrppsrprspspsrpsrpsrpsrpspsrppspsrpsp
machine,0.21259259,38,pspssprrrsprssrpppsprprrrsrsprpsrrrrrpspsppsssrsrrpprsppsrrrpprrrrssrsrprrsrppsrprrpssprpprrprssprrrrrsssrsprrrsppspsrppspppsrsprpssssspprpsrpprrsrrspssrpsppssrsssppsrrsssprpsrpprrrppsprppprprrrpprsppsrprsrsssrssspprrrrprsprsprsprppsrsprspppprsssrppppprpprpsprspppppssppssrsrpsrssrrssprrpppprppsprrpr
