DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
human or machine,0.042,0,prpprrsspsprrrssrrrssrsrpsrssrsppspprsrrprpprrsppsrpspppsrrprpsrsssrrspsprrprrsrprrsprrsppsrspprsrrsprsppsrrrrssrsspprrrspsrppppssrrpppprrrpsprsspprprpsprssrppprpprpsrppsprrssrprpsprrrrpppsspsrrsprrsspppsppprrpppsrsprprspppsppsrsrrrspsrspsprpprppppprrrspssrpspprrpsssrpsprsspsrrrrrrrpspssssrpppsrpspp
human or machine,0.042,1,srpsrpsrrsrsrsrpprpprprprppssprppssprppsprpsprprppsprppprpsrrspsssrprsppsprpsprpsprpsprsssspsrsrsrpspspsprpsprpprppppprrrspsspspprpprpprrrppsssppspsrprpsprpsprpsrpppppprpprrrrrpspsprpsprpppsprppprppsspsprpprppspspspsprpsrpsrpsrpsrpsrrsrsrsrpprpprprprppssprppssprppsprpsprprppsprppprpsrrspsssrprsppspr
human or machine,0.042,2,rpppsrssssrrsrrrpprsrssrssrsrsprpsrsrsppppprrrsppsrssrsprprpsprrrrpprrpprpspprsrprpspsrrpssrpsppppsrpsprpssrssrrsrpppprprrprrpspsrpsspssrppppssrspsrsrpppsssrsrsrsssrrsrsspssrrsppsrrrprppspppssprssrrpssrrsppssrpppppppprspsrpsprrprspsspsrrrprssssprpsrprssprrrrrpppprspssssrsppprssrrrrsrssrprrrsprpsrppr
human or machine,0.042,3,rspsrsrpppsprsrrsrsppsppsrrsrrrrrprssprrprsspsrssrpsrprprpspspsssspsrrrrrsrprpsssppprrrpprrpsrrsrrsppssrprrsrsrsprpssrsprpsrpsrpssrrrpppsssrsrrprprrsprppssssprrsprrrrpssrssssspspprsssprssrprssprsrppspsppsrssrprprpprspprrrsspspsrsspprppssprrrrrsrpssrsrsssrsspprpprrrssrssrrprsprssprsrrpsppsrrrrrpsrrss
human or machine,0.042,4,srpsrpsrpsrpsprsprsprpsrpsrpsprsprsprpsrpsrpsrpsrpsprsprpsrpsrpsrpsrpsrpsprsprsprpsrpsrpsrpsprsprsprsprsprpsrpsrpsrpsrpsrpsprrsprpprsprsrpspsrsrprspsrprspsprrsprspprsprsprssprsrpsprpsrpsrpsrprsprspsrprsrpsrpsprsprsrpsprsprpsrpsrpsrprsprsprsprsppsrpsrpsrprspsrprsrspprsprspsrpsrprsprsprspsrprsprpsrpps
human or machine,0.042,5,rrsssrsrpsprssrsrrrssrsrprprsrrppspssrsprprspsrpprrrpssspspppppssrssrsssrrspprrppppssspprsrrssrsrsrrpspsppprppssrprsrrrprrprpppppsrpssspsssspsrrrrsprrrsspprppprsrsrpsrrrspsrpsrprsspssssprsrrrsrrrssrrprrrrprsrrsrrprrpprprssrrrprpsrrpspsppppppsppsprpprspspprrssrssprsssrrrsprpspspprrpprpssssspsppsppsrp
human or machine,0.042,6,prrsrprrrprprrsrsppprrpprssrppsrpsrrspsrssrppspppsspsppsprprrssrsrprspprrssprsrpsssspprsrppprsssprsssssrpsrsprrpsrspsrpprppprpsrsrspppprprrsrrppsrppppspspspprsrssrpprpsppssspppprsprsrprrsrprrpppppsrspsprpprpssppssssrpsssrrpsrrppsrppsspspprrspsssppsrsrpsssrsrprrsrsspsrrssrpppsprrrpsrspsrssprppsspprpp
human or machine,0.042,7,psrpsprsrprrsprppsrsrpspprprssprpsprprpsprpspprprprssprpsprprsprpspprpsprpsprpsrpsprpsprppsrpspprpsrprsprprpsprpsprpsprpsrprprpsprpsrprprpsrprpsppsrprprpsprpprpsrprsprpsprpsrppsrrspsprpsrppsrpsprpsprpsrpsprspsrpprsprpsrrpsprsprpspprpsrppsrprspsrprpsprprpsppsprppsprpprpsrprprsprprpsprprpsrprprpsprprs
human or machine,0.042,8,rrrrprrsrrpsspsssrsspssrrprssprpsrsrppsprsrrprpsprrssrssspsrrssprrrsrrrpssrrrsprssppppprpspprppprprsrrrppprrprrpssrsrprrspsprprspsrrpsrrssrrsppsprrpspsspssprsrrsrssprrpspsprrrrpssppssssrprpsprrprspprpspssprspprprsspprsprrrsrrrpsprprrrrpssppsrsrrrrrspssrrrrrpprrsppssrsrpsprppprspsrsrppprrpsssrssrprrs
human or machine,0.042,9,pssrppprsrrppsssrpsrrrprsrrrssrsssrsrsppspsprpssspsprprspsrsssppsssppsppsssrpprsrprrrrprsrspprpssprrprsprspsrpsppssssrsrsppprrrpprsprprsrssrrspsssrrpsspssssrrpsprpprprsprrppsrrrrsprprpprpsrpsrsprppsrrssrspsprppprrpsrsrsssspsrssrsrrrrsrsspsssrpprsprppsprpppspsspsrrprssrpppspsrrpssppssppppprrssrppsrss
