code name,language,favorite number,believes aliens have this many eyes,level of coffee addiction,excitement for cs35,level of poptart love,height in cm,hiking or reading,location
LostGrutor,python,42,3,2,168,210,168,0,unk
classified,,3,2,84,1,1,,0,entrepreneur.farmland.chains
classified,,7,14,0,21,2,210,1,juniors.bids.ladder
classified,racket,3,2,126,1,14,,0,entrepreneur.farmland.chains
classified,,168,7,6,0,42,,1,winners.splice.order
classified,,3,2,42,3,14,,1,entrepreneur.farmland.chains
classified,java,7,14,1,6,7,210,0,juniors.bids.ladder
classified,Hmmm,126,7,14,84,3,,1,winners.splice.order
classified,racket,84,6,126,42,0,,0,varieties.gift.verdict
classified,,42,3,0,210,210,168,0,strategist.chroniclers.worryingly
classified,java,168,7,2,3,42,126,0,winners.splice.order
classified,C+,126,6,3,0,42,210,0,varieties.gift.verdict
classified,,6,7,21,0,2,,0,juniors.bids.ladder
classified,,126,7,0,42,6,,1,winners.splice.order
classified,,84,6,1,210,168,168,1,varieties.gift.verdict
classified,,42,3,0,126,210,,1,strategist.chroniclers.worryingly
classified,C+,42,3,3,126,210,,0,strategist.chroniclers.worryingly
classified,,3,14,84,7,84,,1,juniors.bids.ladder
classified,java,126,7,6,84,84,,1,winners.splice.order
classified,racket,3,2,42,1,1,,0,entrepreneur.farmland.chains
classified,,3,2,126,6,2,,0,entrepreneur.farmland.chains
classified,,42,3,126,2,210,168,1,varieties.gift.verdict
classified,C+,3,2,84,2,1,210,0,entrepreneur.farmland.chains
classified,racket,3,2,42,3,14,210,0,entrepreneur.farmland.chains
classified,Hmmm,210,6,7,42,210,,1,winners.splice.order
classified,,126,7,3,21,21,,0,winners.splice.order
classified,,126,7,2,42,3,,1,winners.splice.order
classified,,42,3,3,168,210,,0,strategist.chroniclers.worryingly
classified,,21,7,0,1,3,,1,varieties.gift.verdict
classified,racket,126,7,6,21,14,,1,winners.splice.order
classified,,210,14,21,168,7,126,0,winners.splice.order
classified,,21,6,1,168,126,210,1,strategist.chroniclers.worryingly
classified,,84,2,1,6,168,,0,strategist.chroniclers.worryingly
classified,java,84,6,14,84,168,,1,varieties.gift.verdict
classified,C+,1,2,210,84,210,168,0,entrepreneur.farmland.chains
classified,Hmmm,126,7,3,14,14,,0,winners.splice.order
classified,python,42,3,3,126,210,,1,strategist.chroniclers.worryingly
classified,,6,2,1,21,126,,1,entrepreneur.farmland.chains
classified,Hmmm,7,14,2,42,6,126,1,juniors.bids.ladder
classified,C+,126,7,0,84,2,,0,winners.splice.order
classified,,7,14,2,14,21,,1,juniors.bids.ladder
classified,C+,42,3,6,168,210,,1,strategist.chroniclers.worryingly
classified,C+,84,6,3,168,168,,1,varieties.gift.verdict
classified,Hmmm,126,6,2,84,2,126,0,varieties.gift.verdict
classified,,126,6,42,3,210,,1,winners.splice.order
classified,,126,6,7,84,210,,0,varieties.gift.verdict
classified,,84,6,21,168,168,168,0,varieties.gift.verdict
classified,java,42,3,0,210,210,,1,strategist.chroniclers.worryingly
classified,C+,126,14,84,42,126,210,0,winners.splice.order
classified,java,42,3,3,126,210,,1,strategist.chroniclers.worryingly
classified,,7,14,2,21,2,,1,juniors.bids.ladder
classified,C+,3,2,126,2,6,,1,entrepreneur.farmland.chains
classified,C+,7,7,7,1,6,210,0,juniors.bids.ladder
classified,,3,2,42,6,7,,0,entrepreneur.farmland.chains
classified,,126,7,3,126,2,,1,winners.splice.order
classified,racket,84,6,84,21,168,,0,varieties.gift.verdict
classified,Hmmm,7,6,6,14,21,210,1,juniors.bids.ladder
classified,C+,7,14,1,42,21,,0,juniors.bids.ladder
classified,java,84,6,7,168,126,,0,varieties.gift.verdict
classified,,3,14,1,3,210,,1,juniors.bids.ladder
classified,java,7,14,0,6,1,,1,juniors.bids.ladder
classified,,7,14,0,14,0,126,0,juniors.bids.ladder
classified,,126,7,6,42,2,,0,winners.splice.order
classified,,7,14,3,3,168,,1,juniors.bids.ladder
classified,C+,7,14,1,7,168,,0,juniors.bids.ladder
classified,,42,3,6,168,210,,0,strategist.chroniclers.worryingly
classified,racket,42,3,0,210,210,210,1,strategist.chroniclers.worryingly
classified,java,42,3,0,168,210,126,0,strategist.chroniclers.worryingly
classified,,210,7,2,84,0,,1,winners.splice.order
classified,,7,14,2,42,2,168,0,juniors.bids.ladder
classified,,126,7,14,14,42,,1,winners.splice.order
classified,racket,3,2,42,7,3,210,0,entrepreneur.farmland.chains
classified,,7,14,1,42,3,,1,juniors.bids.ladder
classified,,84,6,0,84,168,,1,varieties.gift.verdict
classified,java,6,1,3,1,6,,0,entrepreneur.farmland.chains
classified,,7,14,2,3,6,,0,juniors.bids.ladder
classified,python,14,1,126,2,1,,0,entrepreneur.farmland.chains
classified,,3,2,84,6,7,210,1,entrepreneur.farmland.chains
classified,python,7,14,0,7,14,,0,juniors.bids.ladder
classified,Hmmm,126,7,14,6,84,,0,winners.splice.order
classified,,42,3,0,210,210,168,1,strategist.chroniclers.worryingly
classified,,21,6,126,84,21,126,0,varieties.gift.verdict
classified,,42,3,0,126,210,210,0,strategist.chroniclers.worryingly
classified,,42,2,1,210,7,168,0,strategist.chroniclers.worryingly
classified,,126,7,7,14,7,126,0,winners.splice.order
classified,java,21,6,7,3,7,,0,strategist.chroniclers.worryingly
classified,python,42,3,3,126,210,,0,strategist.chroniclers.worryingly
classified,C+,7,14,1,42,210,,0,juniors.bids.ladder
classified,Hmmm,14,2,21,14,84,,1,entrepreneur.farmland.chains
classified,,42,3,6,126,210,,1,strategist.chroniclers.worryingly
classified,,126,7,6,6,42,168,0,winners.splice.order
classified,,126,7,0,126,6,,1,winners.splice.order
classified,,126,7,3,7,21,,1,winners.splice.order
classified,,7,14,1,6,168,126,0,juniors.bids.ladder
classified,Hmmm,84,6,7,42,168,,0,varieties.gift.verdict
classified,python,7,14,168,210,210,,0,juniors.bids.ladder
classified,,42,3,6,210,210,,1,strategist.chroniclers.worryingly
classified,,3,7,168,126,21,168,1,juniors.bids.ladder
classified,,84,6,7,168,126,,1,varieties.gift.verdict
classified,Hmmm,3,2,42,7,1,,1,entrepreneur.farmland.chains
classified,racket,7,14,2,7,42,,0,juniors.bids.ladder
classified,,42,3,2,210,210,210,0,strategist.chroniclers.worryingly
classified,racket,126,3,84,0,126,,1,varieties.gift.verdict
classified,Hmmm,7,14,0,14,2,210,1,juniors.bids.ladder
classified,java,3,7,42,84,168,,0,juniors.bids.ladder
classified,java,84,6,2,42,168,,1,varieties.gift.verdict
classified,C+,126,7,7,168,21,,1,winners.splice.order
classified,,84,6,1,84,168,,0,varieties.gift.verdict
classified,,42,3,0,126,210,,0,strategist.chroniclers.worryingly
classified,python,84,6,7,42,210,,1,varieties.gift.verdict
classified,,7,14,2,3,84,,1,juniors.bids.ladder
classified,Hmmm,84,6,0,42,126,210,1,varieties.gift.verdict
classified,,42,3,3,42,2,210,0,strategist.chroniclers.worryingly
classified,,7,14,21,42,21,,1,juniors.bids.ladder
classified,python,42,3,6,126,210,126,0,strategist.chroniclers.worryingly
classified,,84,6,84,84,168,,1,varieties.gift.verdict
classified,python,3,2,126,3,2,,1,entrepreneur.farmland.chains
classified,Hmmm,7,14,1,42,3,,0,juniors.bids.ladder
classified,,126,7,7,21,21,210,0,winners.splice.order
classified,,84,6,14,126,168,,0,varieties.gift.verdict
classified,,84,6,84,168,168,,0,varieties.gift.verdict
classified,java,3,2,126,7,6,126,0,entrepreneur.farmland.chains
classified,,7,14,1,42,126,,1,juniors.bids.ladder
classified,,42,3,0,126,210,168,0,strategist.chroniclers.worryingly
classified,,84,6,1,210,210,,0,varieties.gift.verdict
classified,,7,14,0,42,3,210,1,juniors.bids.ladder
classified,Hmmm,3,0,168,0,84,,1,entrepreneur.farmland.chains
classified,,7,14,0,3,21,,1,juniors.bids.ladder
classified,java,7,6,21,14,1,,0,juniors.bids.ladder
classified,,6,7,2,21,0,,0,juniors.bids.ladder
classified,,42,6,168,210,168,,0,varieties.gift.verdict
classified,,6,7,3,126,21,,1,juniors.bids.ladder
classified,,84,6,14,126,126,,0,varieties.gift.verdict
classified,python,42,3,1,210,210,,0,strategist.chroniclers.worryingly
classified,,42,3,6,168,210,,0,strategist.chroniclers.worryingly
classified,java,42,3,6,168,210,,0,strategist.chroniclers.worryingly
classified,C+,3,2,126,6,14,168,0,entrepreneur.farmland.chains
classified,,7,14,1,21,6,,0,juniors.bids.ladder
classified,C+,126,7,2,14,6,126,1,winners.splice.order
classified,,84,6,42,21,210,210,0,varieties.gift.verdict
classified,python,84,6,7,168,210,,1,varieties.gift.verdict
classified,,3,2,84,1,7,,1,entrepreneur.farmland.chains
classified,,7,2,1,14,84,,0,entrepreneur.farmland.chains
classified,java,210,7,2,2,210,210,1,winners.splice.order
classified,C+,126,7,0,14,21,,1,winners.splice.order
classified,,42,3,0,168,210,168,1,strategist.chroniclers.worryingly
classified,racket,42,3,3,168,210,210,0,strategist.chroniclers.worryingly
classified,Hmmm,126,7,3,84,6,,0,winners.splice.order
classified,java,7,14,1,21,7,126,1,juniors.bids.ladder
classified,,42,3,1,126,210,,0,strategist.chroniclers.worryingly
classified,racket,3,2,42,1,2,168,1,entrepreneur.farmland.chains
classified,,7,6,168,42,168,126,1,juniors.bids.ladder
classified,Hmmm,42,3,84,42,1,,1,varieties.gift.verdict
classified,,7,14,0,6,21,,1,juniors.bids.ladder
classified,Hmmm,3,2,168,3,2,210,0,entrepreneur.farmland.chains
classified,racket,126,14,14,0,210,,0,winners.splice.order
classified,java,7,14,2,3,84,,1,juniors.bids.ladder
classified,python,3,2,42,7,6,210,1,entrepreneur.farmland.chains
classified,,7,14,2,21,7,,1,juniors.bids.ladder
classified,racket,42,3,2,210,210,,0,strategist.chroniclers.worryingly
classified,python,84,6,0,84,168,,0,varieties.gift.verdict
classified,java,1,2,210,168,2,,1,entrepreneur.farmland.chains
classified,racket,3,2,168,7,2,,0,entrepreneur.farmland.chains
classified,Hmmm,7,14,84,42,3,,1,juniors.bids.ladder
classified,,3,2,168,2,1,,0,entrepreneur.farmland.chains
classified,java,6,6,14,168,14,,0,juniors.bids.ladder
classified,racket,7,14,2,6,210,168,0,juniors.bids.ladder
classified,,84,6,84,21,168,210,1,varieties.gift.verdict
classified,,14,2,210,168,2,,0,entrepreneur.farmland.chains
classified,C+,7,7,0,1,168,,0,juniors.bids.ladder
classified,C+,126,14,84,168,210,,0,winners.splice.order
classified,,84,6,0,21,126,210,0,varieties.gift.verdict
classified,racket,7,14,1,3,3,,0,juniors.bids.ladder
classified,,84,6,21,168,168,126,0,varieties.gift.verdict
classified,,6,7,0,6,6,210,1,juniors.bids.ladder
classified,Hmmm,84,6,6,84,210,,1,varieties.gift.verdict
classified,,42,3,1,210,210,,0,strategist.chroniclers.worryingly
classified,,6,14,21,84,42,210,0,juniors.bids.ladder
classified,C+,84,6,7,84,126,168,1,varieties.gift.verdict
classified,,210,7,84,1,168,,0,winners.splice.order
classified,Hmmm,126,7,3,84,84,,1,varieties.gift.verdict
classified,racket,3,6,168,168,6,,1,juniors.bids.ladder
classified,python,42,3,6,168,210,,1,strategist.chroniclers.worryingly
classified,,3,2,42,1,3,,1,entrepreneur.farmland.chains
classified,,7,14,0,84,14,,1,juniors.bids.ladder
classified,,7,14,0,3,7,,0,juniors.bids.ladder
classified,,3,2,168,7,6,,0,entrepreneur.farmland.chains
classified,,2,0,168,3,21,,1,entrepreneur.farmland.chains
classified,,84,6,84,42,126,210,1,varieties.gift.verdict
classified,Hmmm,2,1,210,42,42,,0,entrepreneur.farmland.chains
classified,,21,7,0,6,126,126,0,varieties.gift.verdict
classified,,42,3,1,168,210,,1,strategist.chroniclers.worryingly
classified,,84,6,84,168,168,210,1,varieties.gift.verdict
classified,C+,7,14,2,14,21,,0,juniors.bids.ladder
classified,racket,3,6,21,21,1,126,1,juniors.bids.ladder
classified,racket,84,6,21,210,168,210,0,varieties.gift.verdict
classified,,126,7,6,126,3,,1,winners.splice.order
classified,,126,7,14,6,2,,0,winners.splice.order
