pclass,survived,sex,age,sibsp,parch,sexnum
0,1,1,female,29.0,0,0,0
1,1,1,male,0.9167,1,2,1
2,1,0,female,2.0,1,2,0
3,1,0,male,30.0,1,2,1
4,1,0,female,25.0,1,2,0
5,1,1,male,48.0,0,0,1
6,1,1,female,63.0,1,0,0
7,1,0,male,39.0,0,0,1
8,1,1,female,53.0,2,0,0
9,1,0,male,71.0,0,0,1
10,1,0,male,47.0,1,0,1
11,1,1,female,18.0,1,0,0
12,1,1,female,24.0,0,0,0
13,1,1,female,26.0,0,0,0
14,1,1,male,80.0,0,0,1
16,1,1,female,32.0,0,0,0
17,1,0,male,36.0,0,0,1
18,1,1,male,37.0,1,1,1
19,1,1,female,47.0,1,1,0
20,1,1,male,26.0,0,0,1
21,1,1,female,42.0,0,0,0
22,1,1,female,29.0,0,0,0
23,1,0,male,25.0,0,0,1
24,1,1,male,25.0,1,0,1
25,1,1,female,19.0,1,0,0
26,1,1,female,35.0,0,0,0
27,1,1,male,28.0,0,0,1
28,1,0,male,45.0,0,0,1
29,1,1,male,40.0,0,0,1
30,1,1,female,30.0,0,0,0
31,1,1,female,58.0,0,0,0
32,1,0,male,42.0,0,0,1
33,1,1,female,45.0,0,0,0
34,1,1,female,22.0,0,1,0
36,1,0,male,41.0,0,0,1
37,1,0,male,48.0,0,0,1
39,1,1,female,44.0,0,0,0
40,1,1,female,59.0,2,0,0
41,1,1,female,60.0,0,0,0
42,1,1,female,41.0,0,0,0
43,1,0,male,45.0,0,0,1
45,1,1,male,42.0,0,0,1
46,1,1,female,53.0,0,0,0
47,1,1,male,36.0,0,1,1
48,1,1,female,58.0,0,1,0
49,1,0,male,33.0,0,0,1
50,1,0,male,28.0,0,0,1
51,1,0,male,17.0,0,0,1
52,1,1,male,11.0,1,2,1
53,1,1,female,14.0,1,2,0
54,1,1,male,36.0,1,2,1
55,1,1,female,36.0,1,2,0
56,1,0,male,49.0,0,0,1
58,1,0,male,36.0,1,0,1
59,1,1,female,76.0,1,0,0
60,1,0,male,46.0,1,0,1
61,1,1,female,47.0,1,0,0
62,1,1,male,27.0,1,0,1
63,1,1,female,33.0,1,0,0
64,1,1,female,36.0,0,0,0
65,1,1,female,30.0,0,0,0
66,1,1,male,45.0,0,0,1
69,1,0,male,27.0,1,0,1
70,1,1,female,26.0,1,0,0
71,1,1,female,22.0,0,0,0
73,1,0,male,47.0,0,0,1
74,1,1,female,39.0,1,1,0
75,1,0,male,37.0,1,1,1
76,1,1,female,64.0,0,2,0
77,1,1,female,55.0,2,0,0
79,1,0,male,70.0,1,1,1
80,1,1,female,36.0,0,2,0
81,1,1,female,64.0,1,1,0
82,1,0,male,39.0,1,0,1
83,1,1,female,38.0,1,0,0
84,1,1,male,51.0,0,0,1
85,1,1,male,27.0,0,0,1
86,1,1,female,33.0,0,0,0
87,1,0,male,31.0,1,0,1
88,1,1,female,27.0,1,2,0
89,1,1,male,31.0,1,0,1
90,1,1,female,17.0,1,0,0
91,1,0,male,50.0,1,0,1
92,1,1,female,27.0,1,1,0
93,1,1,female,48.0,1,0,0
94,1,1,female,48.0,1,0,0
95,1,1,male,49.0,1,0,1
96,1,0,male,39.0,0,0,1
97,1,1,female,23.0,0,1,0
98,1,1,female,38.0,0,0,0
99,1,1,female,54.0,1,0,0
100,1,0,female,36.0,0,0,0
104,1,1,male,36.0,0,0,1
105,1,0,male,30.0,0,0,1
106,1,1,female,30.0,0,0,0
108,1,1,male,50.0,2,0,1
109,1,1,male,43.0,1,0,1
111,1,1,female,22.0,0,2,0
112,1,1,male,60.0,1,1,1
113,1,1,female,48.0,1,1,0
115,1,0,male,37.0,1,0,1
116,1,1,female,35.0,1,0,0
117,1,0,male,47.0,0,0,1
118,1,1,female,35.0,0,0,0
119,1,1,female,22.0,0,1,0
120,1,1,female,45.0,0,1,0
121,1,0,male,24.0,0,0,1
122,1,1,male,49.0,1,0,1
124,1,0,male,71.0,0,0,1
125,1,1,male,53.0,0,0,1
126,1,1,female,19.0,0,0,0
127,1,0,male,38.0,0,1,1
128,1,1,female,58.0,0,1,0
129,1,1,male,23.0,0,1,1
130,1,1,female,45.0,0,1,0
131,1,0,male,46.0,0,0,1
132,1,1,male,25.0,1,0,1
133,1,1,female,25.0,1,0,0
134,1,1,male,48.0,1,0,1
135,1,1,female,49.0,1,0,0
137,1,0,male,45.0,1,0,1
138,1,1,female,35.0,1,0,0
139,1,0,male,40.0,0,0,1
140,1,1,male,27.0,0,0,1
142,1,1,female,24.0,0,0,0
143,1,0,male,55.0,1,1,1
144,1,1,female,52.0,1,1,0
145,1,0,male,42.0,0,0,1
147,1,0,male,55.0,0,0,1
148,1,1,female,16.0,0,1,0
149,1,1,female,44.0,0,1,0
150,1,1,female,51.0,1,0,0
151,1,0,male,42.0,1,0,1
152,1,1,female,35.0,1,0,0
153,1,1,male,35.0,0,0,1
154,1,1,male,38.0,1,0,1
156,1,1,female,35.0,1,0,0
157,1,1,female,38.0,0,0,0
158,1,0,female,50.0,0,0,0
159,1,1,male,49.0,0,0,1
160,1,0,male,46.0,0,0,1
161,1,0,male,50.0,0,0,1
162,1,0,male,32.5,0,0,1
163,1,0,male,58.0,0,0,1
164,1,0,male,41.0,1,0,1
166,1,1,male,42.0,1,0,1
167,1,1,female,45.0,1,0,0
169,1,1,female,39.0,0,0,0
170,1,1,female,49.0,0,0,0
171,1,1,female,30.0,0,0,0
172,1,1,male,35.0,0,0,1
174,1,0,male,42.0,0,0,1
175,1,1,female,55.0,0,0,0
176,1,1,female,16.0,0,1,0
177,1,1,female,51.0,0,1,0
178,1,0,male,29.0,0,0,1
179,1,1,female,21.0,0,0,0
180,1,0,male,30.0,0,0,1
181,1,1,female,58.0,0,0,0
182,1,1,female,15.0,0,1,0
183,1,0,male,30.0,0,0,1
184,1,1,female,16.0,0,0,0
186,1,0,male,19.0,1,0,1
187,1,1,female,18.0,1,0,0
188,1,1,female,24.0,0,0,0
189,1,0,male,46.0,0,0,1
190,1,0,male,54.0,0,0,1
191,1,1,male,36.0,0,0,1
192,1,0,male,28.0,1,0,1
194,1,0,male,65.0,0,0,1
195,1,0,male,44.0,2,0,1
196,1,1,female,33.0,1,0,0
197,1,1,female,37.0,1,0,0
198,1,1,male,30.0,1,0,1
199,1,0,male,55.0,0,0,1
200,1,0,male,47.0,0,0,1
201,1,0,male,37.0,0,1,1
